Pressure (Torr),Ga_mmol,Ga_amount,Ga_Conc (mol/l),N_mmol,N_amount,N_Conc (mol/l),Ga/N molar ratio,Solvent_ml,PH ,Growth Temperature (0C),Diameter (nm),Height (nm),Time (h),ΦAl / φMetal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,745,0.0,0.0,0.0,0.12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0,0.0,730,0.0,0.0,0.005,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720,0.0,0.0,0.0,0.14
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-40,3.3,0.0,0.5,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720,0.0,0.0,0.0,0.24
0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0,0.0,730,0.0,0.0,0.005,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0,0.0,730,0.0,0.0,0.005,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,745,0.0,0.0,0.0,0.21
0,5.0,2.25,0.0,30.0,1.17,0.0,0.16,0,0.0,210,50.0,0.0,24.0,0.0
0,0.5,0.088,0.0,1.5,0.083,0.0,0.33,15,0.0,300,3.0,0.0,1.0,0.0
0,0.5,0.08,0.0,1.8,0.3,0.0,0.27,0,0.0,360,3.8,0.0,0.08,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720,0.0,0.0,0.0,0.42
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720,7.0,1.5,0.0,0.33
0,10.0,2.0,0.1,30.0,1.8,0.3,0.33,100,0.0,25,24.0,0.0,48.0,0.0
