Pressure (Torr),Ga_mmol,Ga_amount,Ga_Conc (mol/l),N_mmol,N_amount,N_Conc (mol/l),Ga/N molar ratio,Solvent_ml,PH ,Growth Temperature (0C),Diameter (nm),Height (nm),Time (h),ΦAl / φMetal
0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0,0.0,975,20.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0,0.0,965,20.0,2.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,745,0.0,0.0,0.0,0.12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0,0.0,730,0.0,0.0,0.005,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720,0.0,0.0,0.033,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720,0.0,0.0,0.0,0.14
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720,15.0,1.0,0.004,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-40,3.3,0.0,0.5,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720,15.0,0.0,0.004,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720,0.0,0.0,0.0,0.24
200,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,965,20.0,2.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0,0.0,730,0.0,0.0,0.005,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0,0.0,730,0.0,0.0,0.005,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,745,0.0,0.0,0.0,0.21
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720,0.0,0.0,0.0,0.42
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720,7.0,1.5,0.0,0.33
